Species,Family,Biol_realm,Growth_form,PFT,Life_history,Leaf_type,Phenology,Photosynthesis,Legume
Populus alba,Salicaceae,Seed,W ,T ,,B ,D ,C3,N 
Populus deltoides,Salicaceae,Seed,W ,T ,,B ,D ,C3,N 
Populus maximowiczii × P. nigra var. plantierensis,Salicaceae,Seed,W ,T ,,B ,D ,C3,N 
Populus nigra ,Salicaceae,Seed,W ,T ,,B ,D ,C3,N 
Populus tremula,Salicaceae,Seed,W ,T ,,B ,D ,C3,N 
Populus tremuloides,Salicaceae,Seed,W ,T ,,B ,D ,C3,N 
Posidonia australis,Potamogetonaceae,Seed,H ,Fo ,P,,,Nd,N
Potamogeton amplifolius,Potamogetonaceae,Seed,H ,Fo ,P ,,,C3,N 
Potentilla fruiticosa,Rosaceae,Seed,W ,S ,,,,C3,N 
Potentilla tanacetifolia,Rosaceae,Seed,H ,Fo ,P ,,,C3,N 
Prosopis alba,Fabaceae,Seed,W ,T ,,B ,D ,C3,L 
Prosopis flexuosa,Fabaceae,Seed,W ,T ,,B ,D ,C3,L 
Prosopis glandulosa,Fabaceae,Seed,W ,S ,,,,C3,L 
Prosopis strombuli,Fabaceae,Seed,W ,S ,,,,C3,L 
Protea repens,Proteaceae,Seed,W ,S ,,,,C3,N 
Prumnopitys ferruginea,Podocarpaceae,Seed,W ,T ,,C ,E ,C3,N 
Prunella vulgaris ,Lamiaceae,Seed,H ,Fo ,P ,,,C3,N 
Prunus pensylvanica,Rosaceae,Seed,W ,T ,,B ,D ,C3,N 
Prunus serotina,Rosaceae,Seed,W ,T ,,B ,D ,C3,N 
Pseudoroegenaria spicata,Gramineae,Seed,H ,G ,P ,,,C3,N 
Pseudoroegneria spicata,Gramineae,Seed,H ,G ,P ,,,C4,N 
Pseudotsuga menziesii,Pinaceae,Seed,W ,T ,,C ,E ,C3,N 
Psidium cattleianum,Myrtaceae,Seed,W ,T ,,B ,E ,C3,N 
Pteridium aquilinum ,Dennstaedtiaceae,Spore,O ,Fe ,,,,,
Quercus acutissima,Fagaceae,Seed,W ,T ,,B ,D ,C3,N 
Quercus ilex,Fagaceae,Seed,W ,T ,,B ,E ,C3,N 
Quercus mongolica,Fagaceae,Seed,W ,T ,,B ,D ,C3,N 
Quercus robur,Fagaceae,Seed,W ,T ,,B ,D ,C3,N 
Quercus rubra,Fagaceae,Seed,W ,T ,,B ,D ,C3,N 
Quercus suber,Fagaceae,Seed,W ,T ,,B ,E ,C3,N 
Quercus variabilis,Fagaceae,Seed,W ,T ,,B ,D ,C3,N 
Quercus velutina,Fagaceae,Seed,W ,T ,,B ,D ,C3,N 
Racomitrium lanuginosum,Grimmiaceae,Spore,O ,M ,,,,,
Ranunculus glacialis,Ranunculaceae,Seed,H ,Fo ,P ,,,C3,N 
Rhamnus cathartica,Rhamnaceae,Seed,W ,T ,,B ,D ,C3,N 
Rhizophora mangle,Rhizophoraceae,Seed,W ,T ,,B ,E ,C3,N 
Rhododendron lapponicum,Ericaceae,Seed,W ,S ,,,,C3,N 
Rhododendron subarcticum,Ericaceae,Seed,W ,S ,,,,C3,N 
Rhus typhina,Anacardiaceae,Seed,W ,T ,,B ,D ,C3,N 
Rhynchospora alba,Cyperaceae,Seed,H ,G ,P ,,,C3,N 
